tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
801,2/1/15 0:00,2/1/15 0:14,521,8 Ave & W 31 St,40.75044999,-73.99481051,423,W 54 St & 9 Ave,40.76584941,-73.98690506,17131,Subscriber,1978,2
379,2/1/15 0:00,2/1/15 0:07,497,E 17 St & Broadway,40.73704984,-73.99009296,504,1 Ave & E 15 St,40.73221853,-73.98165557,21289,Subscriber,1993,1
2474,2/1/15 0:01,2/1/15 0:42,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,127,Barrow St & Hudson St,40.73172428,-74.00674436,18903,Subscriber,1969,2
818,2/1/15 0:01,2/1/15 0:15,2004,6 Ave & Broome St,40.724399,-74.004704,505,6 Ave & W 33 St,40.74901271,-73.98848395,21044,Subscriber,1985,2
544,2/1/15 0:01,2/1/15 0:10,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,19868,Subscriber,1957,1
717,2/1/15 0:02,2/1/15 0:14,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,15854,Subscriber,1979,1
1306,2/1/15 0:04,2/1/15 0:26,352,W 56 St & 6 Ave,40.76340613,-73.97722479,504,1 Ave & E 15 St,40.73221853,-73.98165557,15173,Subscriber,1983,1
913,2/1/15 0:04,2/1/15 0:19,439,E 4 St & 2 Ave,40.7262807,-73.98978041,116,W 17 St & 8 Ave,40.74177603,-74.00149746,17862,Subscriber,1955,1
759,2/1/15 0:04,2/1/15 0:17,335,Washington Pl & Broadway,40.72903917,-73.99404649,2012,E 27 St & 1 Ave,40.739445,-73.976806,21183,Subscriber,1985,2
585,2/1/15 0:05,2/1/15 0:15,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,444,Broadway & W 24 St,40.7423543,-73.98915076,14843,Subscriber,1982,1
581,2/1/15 0:05,2/1/15 0:15,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,444,Broadway & W 24 St,40.7423543,-73.98915076,16936,Subscriber,1988,2
204,2/1/15 0:05,2/1/15 0:08,498,Broadway & W 32 St,40.74854862,-73.98808416,472,E 32 St & Park Ave,40.7457121,-73.98194829,21507,Subscriber,1991,2
1169,2/1/15 0:07,2/1/15 0:27,368,Carmine St & 6 Ave,40.73038599,-74.00214988,307,Canal St & Rutgers St,40.71427487,-73.98990025,17456,Subscriber,1982,2
419,2/1/15 0:07,2/1/15 0:14,326,E 11 St & 1 Ave,40.72953837,-73.98426726,2012,E 27 St & 1 Ave,40.739445,-73.976806,14679,Subscriber,1990,2
527,2/1/15 0:09,2/1/15 0:17,285,Broadway & E 14 St,40.73454567,-73.99074142,212,W 16 St & The High Line,40.74334935,-74.00681753,18978,Subscriber,1977,1
1013,2/1/15 0:10,2/1/15 0:27,368,Carmine St & 6 Ave,40.73038599,-74.00214988,488,W 39 St & 9 Ave,40.75645824,-73.99372222,16496,Subscriber,1968,1
587,2/1/15 0:13,2/1/15 0:23,394,E 9 St & Avenue C,40.72521311,-73.97768752,331,Pike St & Monroe St,40.71173107,-73.99193043,17107,Subscriber,1990,1
525,2/1/15 0:13,2/1/15 0:22,326,E 11 St & 1 Ave,40.72953837,-73.98426726,507,E 25 St & 2 Ave,40.73912601,-73.97973776,16984,Subscriber,1987,1
670,2/1/15 0:14,2/1/15 0:26,493,W 45 St & 6 Ave,40.7568001,-73.98291153,305,E 58 St & 3 Ave,40.76095756,-73.96724467,15997,Subscriber,1980,1
711,2/1/15 0:15,2/1/15 0:27,445,E 10 St & Avenue A,40.72740794,-73.98142006,223,W 13 St & 7 Ave,40.73781509,-73.99994661,21516,Subscriber,1960,1
1559,2/1/15 0:16,2/1/15 0:42,428,E 3 St & 1 Ave,40.72467721,-73.98783413,457,Broadway & W 58 St,40.76695317,-73.98169333,15815,Subscriber,1986,1
683,2/1/15 0:16,2/1/15 0:27,228,E 48 St & 3 Ave,40.7546011,-73.97187886,477,W 41 St & 8 Ave,40.75640548,-73.9900262,18727,Subscriber,1987,1
